Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,2268.1001,2334.9099,2252.0,2331.6599,2331.6599,1776651.0
2022-05-03,2328.6101,2368.8401,2320.6899,2346.6799,2346.6799,1248368.0
2022-05-04,2340.6299,2457.0901,2302.3201,2445.22,2445.22,2495764.0
2022-05-05,2404.0801,2420.78,2300.1201,2330.1101,2330.1101,2292029.0
2022-05-06,2303.6899,2351.4299,2280.3101,2314.9299,2314.9299,1985479.0
2022-05-09,2265.0,2301.54,2240.01,2250.22,2250.22,2040143.0
2022-05-10,2310.1499,2325.0,2258.01,2287.8999,2287.8999,1995019.0
2022-05-11,2264.73,2327.29,2264.73,2272.05,2272.05,1876737.0
2022-05-12,2227.55,2285.8999,2196.49,2256.8799,2256.8799,2691809.0
2022-05-13,2290.6599,2357.5,2272.1001,2321.01,2321.01,1751924.0
2022-05-16,2299.1101,2323.3999,2277.79,2288.8999,2288.8999,1299522.0
2022-05-17,2336.8101,2338.0,2297.3999,2329.46,2329.46,1152658.0
2022-05-18,2300.0,2308.0,2231.1101,2237.99,2237.99,1756299.0
2022-05-19,2228.6299,2260.2,2200.0,2207.6799,2207.6799,1707220.0
2022-05-20,2239.02,2243.6699,2115.9299,2178.1599,2178.1599,2448148.0
2022-05-23,2191.75,2242.95,2174.8201,2229.76,2229.76,1859247.0
2022-05-24,2115.4399,2129.1699,2037.6899,2119.3999,2119.3999,3838989.0
2022-05-25,2099.71,2130.0,2077.1299,2116.1001,2116.1001,2012867.0
2022-05-26,2113.54,2172.99,2104.5,2155.8501,2155.8501,1897361.0
2022-05-27,2189.6599,2246.3601,2182.77,2246.3301,2246.3301,1895706.0
2022-05-31,2254.9299,2314.7,2241.5701,2275.24,2275.24,2500613.0
2022-06-01,2297.1001,2342.03,2265.0,2277.8401,2277.8401,1830276.0
2022-06-02,2280.0,2357.99,2258.9299,2352.45,2352.45,1899614.0
2022-06-03,2321.25,2326.4299,2270.3701,2290.8201,2290.8201,1306773.0
2022-06-06,2334.0901,2386.9399,2323.28,2336.4099,2336.4099,1677077.0
2022-06-07,2309.6101,2353.8201,2301.04,2342.99,2342.99,1579523.0
2022-06-08,2335.23,2371.4099,2332.0,2343.8799,2343.8799,1305387.0
2022-06-09,2326.55,2365.98,2295.52,2296.71,2296.71,1289898.0
2022-06-10,2248.8999,2265.5801,2207.3201,2223.23,2223.23,2074092.0
2022-06-13,2135.73,2175.8301,2122.3799,2127.8501,2127.8501,2362596.0
