Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,211.77,212.14,206.96,211.53,211.53,8803722.0
2022-05-03,213.61,213.61,206.27,208.56,208.56,6616908.0
2022-05-04,209.35,214.8,205.33,214.52,214.52,7191137.0
2022-05-05,212.27,214.58,203.07,205.24,205.24,7749564.0
2022-05-06,203.75,205.72,200.22,202.82,202.82,8825334.0
2022-05-09,200.05,200.75,192.08,193.0,193.0,10314141.0
2022-05-10,196.71,197.75,190.97,193.58,193.58,11016488.0
2022-05-11,193.49,198.32,191.4,196.72,196.72,9427340.0
2022-05-12,194.53,196.06,189.95,193.97,193.97,9308563.0
2022-05-13,197.0,200.54,196.5,199.23,199.23,6684482.0
2022-05-16,197.32,199.94,195.88,197.81,197.81,5161272.0
2022-05-17,202.85,204.8,200.15,204.0,204.0,7265568.0
2022-05-18,202.82,205.46,199.13,199.99,199.99,8748239.0
2022-05-19,196.35,200.42,193.31,197.37,197.37,9012392.0
2022-05-20,199.67,201.66,194.02,199.03,199.03,6966630.0
2022-05-23,200.88,207.96,200.77,207.56,207.56,12187430.0
2022-05-24,203.91,204.67,199.03,202.63,202.63,7458655.0
2022-05-25,200.59,204.95,200.47,203.84,203.84,5457179.0
2022-05-26,205.11,209.74,204.67,208.55,208.55,9212253.0
2022-05-27,210.0,213.23,209.64,212.88,212.88,4897174.0
2022-05-31,210.38,214.35,209.11,212.17,212.17,9586408.0
2022-06-01,212.05,214.11,208.82,209.93,209.93,5246111.0
2022-06-02,211.89,215.25,211.08,215.05,215.05,5337228.0
2022-06-03,212.95,214.21,211.27,212.65,212.65,4352528.0
2022-06-06,215.45,217.58,212.09,212.94,212.94,3965080.0
2022-06-07,211.12,214.97,210.72,214.5,214.5,4493312.0
2022-06-08,213.76,215.57,212.83,213.5,213.5,3646279.0
2022-06-09,212.59,213.71,206.02,206.11,206.11,5140550.0
2022-06-10,201.65,203.42,199.18,199.51,199.51,5163771.0
2022-06-13,192.99,195.89,191.08,192.26,192.26,7119242.0
2022-06-14,192.72,194.34,191.75,193.52,193.52,6441168.0
2022-06-15,195.98,198.83,192.23,196.16,196.16,6490000.0
2022-06-16,191.41,191.87,187.53,189.05,189.05,9887176.0
2022-06-17,186.93,191.31,185.91,190.01,190.01,15089338.0
2022-06-21,195.71,196.73,193.73,194.39,194.39,6241638.0
2022-06-22,191.25,196.39,191.03,193.82,193.82,5139086.0
2022-06-23,196.14,197.46,193.45,196.64,196.64,4752787.0
2022-06-24,197.73,205.64,197.51,205.51,205.51,7754785.0
2022-06-27,205.75,207.09,202.61,203.56,203.56,6121223.0
