Date,Open,High,Low,Close,Adj Close,Volume
2022-09-15,1.7,1.75,1.62,1.67,1.67,430108.0
2022-09-16,1.61,1.63,1.52,1.6,1.6,398293.0
2022-09-19,1.57,1.63,1.5,1.63,1.63,420397.0
2022-09-20,1.58,1.59,1.45,1.47,1.47,145423.0
2022-09-21,1.47,1.53,1.42,1.5,1.5,101040.0
2022-09-22,1.49,1.49,1.35,1.41,1.41,297820.0
2022-09-23,1.4,1.45,1.29,1.29,1.29,869087.0
2022-09-26,1.29,1.37,1.27,1.3,1.3,685355.0
2022-09-27,1.32,1.4,1.28,1.31,1.31,395873.0
2022-09-28,1.33,1.36,1.29,1.34,1.34,346126.0
2022-09-29,1.32,1.35,1.21,1.22,1.22,269201.0
2022-09-30,1.21,1.39,1.2,1.26,1.26,218731.0
2022-10-03,1.26,1.29,1.13,1.17,1.17,358723.0
2022-10-04,1.23,1.48,1.21,1.4,1.4,466670.0
2022-10-05,1.33,1.37,1.29,1.31,1.31,225218.0
2022-10-06,1.28,1.33,1.22,1.27,1.27,296413.0
2022-10-07,1.25,1.25,1.13,1.14,1.14,233000.0
2022-10-10,1.13,1.14,1.09,1.12,1.12,405494.0
2022-10-11,1.1,1.13,1.0,1.04,1.04,632739.0
2022-10-12,1.02,1.04,1.0,1.01,1.01,160193.0
2022-10-13,0.97,1.02,0.9,1.01,1.01,243165.0
2022-10-14,1.01,1.03,0.95,0.95,0.95,315375.0
2022-10-17,0.96,1.05,0.93,0.97,0.97,293053.0
2022-10-18,0.99,1.0,0.86,0.89,0.89,302577.0
2022-10-19,0.89,0.95,0.82,0.88,0.88,208733.0
2022-10-20,0.88,0.95,0.87,0.89,0.89,237226.0
2022-10-21,0.91,0.93,0.8,0.8,0.8,281733.0
2022-10-24,0.8,0.86,0.76,0.81,0.81,421042.0
2022-10-25,0.8,0.88,0.8,0.83,0.83,373554.0
2022-10-26,0.86,1.23,0.86,1.18,1.18,2524128.0
2022-10-27,1.15,1.17,1.05,1.1,1.1,815980.0
2022-10-28,1.09,1.15,1.05,1.15,1.15,183889.0
2022-10-31,1.17,1.17,1.01,1.01,1.01,361061.0
2022-11-01,1.02,1.07,0.98,1.01,1.01,459245.0
2022-11-02,1.07,1.07,0.89,0.95,0.95,410767.0
2022-11-03,0.95,0.98,0.92,0.92,0.92,91586.0
2022-11-04,0.99,0.99,0.85,0.92,0.92,181101.0
2022-11-07,0.92,0.95,0.88,0.9,0.9,205962.0
2022-11-08,0.9,0.99,0.84,0.87,0.87,447163.0
2022-11-09,0.85,0.86,0.75,0.77,0.77,1694187.0
2022-11-10,0.83,0.92,0.8,0.82,0.82,652874.0
2022-11-11,0.85,0.99,0.8,0.96,0.96,501608.0
2022-11-14,0.93,1.06,0.85,0.95,0.95,464489.0
2022-11-15,0.96,1.09,0.9,0.99,0.99,742715.0
2022-11-16,0.97,1.03,0.86,0.98,0.98,359371.0
2022-11-17,0.95,1.04,0.88,0.93,0.93,509435.0
2022-11-18,0.96,0.98,0.84,0.89,0.89,233955.0
2022-11-21,0.89,0.99,0.75,0.79,0.79,472595.0
2022-11-22,0.78,0.88,0.75,0.75,0.75,935618.0
2022-11-23,0.76,0.84,0.75,0.82,0.82,313117.0
2022-11-25,0.82,0.9,0.81,0.86,0.86,150893.0
2022-11-28,0.86,0.9,0.78,0.88,0.88,362483.0
2022-11-29,0.87,0.95,0.87,0.89,0.89,195571.0
2022-11-30,0.95,0.98,0.78,0.78,0.78,1050372.0
2022-12-01,0.82,0.88,0.78,0.83,0.83,328292.0
2022-12-02,0.81,1.04,0.8,0.95,0.95,374910.0
2022-12-05,0.95,1.01,0.87,0.95,0.95,467754.0
2022-12-06,0.93,0.95,0.88,0.89,0.89,563549.0
2022-12-07,0.89,0.91,0.77,0.78,0.78,324525.0
2022-12-08,0.77,0.89,0.77,0.81,0.81,149236.0
2022-12-09,0.79,0.85,0.75,0.78,0.78,189351.0
2022-12-12,0.76,0.81,0.73,0.74,0.74,759537.0
2022-12-13,0.78,0.8,0.71,0.72,0.72,308868.0
2022-12-14,0.7,0.74,0.67,0.68,0.68,157410.0
2022-12-15,0.68,0.71,0.61,0.69,0.69,995870.0
2022-12-16,0.66,0.73,0.6,0.6,0.6,1884980.0
2022-12-19,0.6,0.63,0.57,0.62,0.62,508520.0
2022-12-20,0.62,0.65,0.57,0.6,0.6,378545.0
2022-12-21,0.6,0.65,0.57,0.6,0.6,208809.0
2022-12-22,0.6,0.62,0.53,0.55,0.55,326545.0
2022-12-23,0.55,0.59,0.51,0.54,0.54,1501465.0
2022-12-27,0.54,0.55,0.49,0.51,0.51,749962.0
2022-12-28,0.5,0.53,0.39,0.41,0.41,4390279.0
2022-12-29,0.41,0.53,0.38,0.45,0.45,5219619.0
2022-12-30,0.45,0.6,0.45,0.56,0.56,3956499.0
2023-01-03,0.58,0.68,0.58,0.64,0.64,825994.0
2023-01-04,0.7,0.78,0.64,0.65,0.65,948290.0
2023-01-05,0.67,0.83,0.64,0.8,0.8,610172.0
2023-01-06,0.84,0.84,0.75,0.77,0.77,235325.0
2023-01-09,0.86,1.0,0.84,0.92,0.92,821616.0
2023-01-10,0.9,0.98,0.85,0.94,0.94,518202.0
2023-01-11,0.99,1.08,0.95,1.0,1.0,977800.0
2023-01-12,1.01,1.25,1.0,1.05,1.05,1202752.0
2023-01-13,1.05,1.3,1.05,1.11,1.11,1165115.0
2023-01-17,1.24,1.37,1.04,1.12,1.12,1113121.0
2023-01-18,1.19,1.24,1.0,1.02,1.02,716299.0
2023-01-19,1.01,1.05,0.92,0.95,0.95,563293.0
2023-01-20,1.0,1.15,0.97,1.1,1.1,681366.0
2023-01-23,1.18,1.29,1.12,1.15,1.15,917893.0
2023-01-24,1.11,1.19,1.03,1.08,1.08,555745.0
2023-01-25,1.08,1.15,1.03,1.13,1.13,552506.0
2023-01-26,1.18,1.29,1.18,1.26,1.26,781185.0
2023-01-27,1.26,1.6,1.24,1.47,1.47,1298298.0
2023-01-30,1.48,1.52,1.21,1.22,1.22,1374630.0
2023-01-31,1.24,1.37,1.18,1.2,1.2,876803.0
2023-02-01,1.2,1.46,1.2,1.38,1.38,1291102.0
2023-02-02,1.5,2.9,1.47,2.0,2.0,8404089.0
2023-02-03,2.06,2.08,1.8,1.84,1.84,2105464.0
2023-02-06,1.8,2.14,1.79,1.82,1.82,1685431.0
2023-02-07,1.95,1.97,1.63,1.7,1.7,1892023.0
2023-02-08,1.71,1.9,1.63,1.68,1.68,907878.0
2023-02-09,1.7,1.71,1.44,1.52,1.52,1642504.0
2023-02-10,1.48,1.59,1.42,1.51,1.51,833448.0
2023-02-13,1.48,1.48,1.36,1.39,1.39,661256.0
2023-02-14,1.39,1.63,1.39,1.52,1.52,1006267.0
2023-02-15,1.62,1.9,1.54,1.83,1.83,1917687.0
2023-02-16,1.78,2.07,1.65,1.89,1.89,3180976.0
2023-02-17,1.86,1.93,1.7,1.9,1.9,1143935.0
2023-02-21,1.9,1.95,1.65,1.74,1.74,1238486.0
2023-02-22,1.72,1.77,1.61,1.73,1.73,644889.0
2023-02-23,1.8,1.86,1.53,1.64,1.64,1012190.0
2023-02-24,1.6,1.63,1.5,1.51,1.51,555709.0
2023-02-27,1.52,1.59,1.44,1.46,1.46,699384.0
2023-02-28,1.48,1.6,1.43,1.52,1.52,748881.0
2023-03-01,1.6,1.67,1.43,1.46,1.46,576630.0
2023-03-02,1.43,1.62,1.39,1.59,1.59,1207330.0
2023-03-03,1.55,1.65,1.52,1.61,1.61,550647.0
2023-03-06,1.61,1.63,1.52,1.58,1.58,553135.0
2023-03-07,1.56,1.6,1.48,1.49,1.49,709390.0
2023-03-08,1.49,1.54,1.41,1.5,1.5,459841.0
2023-03-09,1.49,1.5,1.38,1.42,1.42,850606.0
2023-03-10,1.41,1.42,1.26,1.32,1.32,1604596.0
2023-03-13,1.42,1.85,1.4,1.82,1.82,2502935.0
2023-03-14,2.05,2.6,1.57,1.68,1.68,8195391.0
2023-03-15,1.74,1.94,1.69,1.83,1.83,2191335.0
2023-03-16,1.8,2.06,1.76,1.96,1.96,1776313.0
2023-03-17,2.15,2.35,1.9,2.32,2.32,4703553.0
2023-03-20,2.33,2.33,2.02,2.13,2.13,2320648.0
2023-03-21,2.15,2.5,2.09,2.5,2.5,1905165.0
2023-03-22,2.4,2.46,1.96,2.05,2.05,2913895.0
2023-03-23,2.06,2.37,2.04,2.34,2.34,2212059.0
2023-03-24,2.27,2.28,2.1,2.14,2.14,774116.0
2023-03-27,2.11,2.15,1.82,1.89,1.89,1325848.0
2023-03-28,1.83,1.91,1.76,1.9,1.9,712760.0
2023-03-29,1.99,2.25,1.99,2.2,2.2,1195689.0
2023-03-30,2.27,2.37,2.05,2.09,2.09,1609305.0
2023-03-31,2.14,2.35,2.13,2.33,2.33,1603307.0
2023-04-03,2.33,2.47,2.24,2.4,2.4,1253122.0
2023-04-04,2.4,2.44,2.17,2.32,2.32,944503.0
2023-04-05,2.31,2.36,2.18,2.24,2.24,488927.0
2023-04-06,2.19,2.37,2.12,2.33,2.33,550107.0
2023-04-10,2.33,2.64,2.24,2.54,2.54,2020410.0
2023-04-11,2.68,2.82,2.46,2.57,2.57,2982580.0
2023-04-12,2.67,2.73,2.32,2.36,2.36,2052851.0
2023-04-13,2.47,2.84,2.45,2.65,2.65,2560337.0
2023-04-14,2.83,3.32,2.73,2.91,2.91,3294198.0
2023-04-17,2.52,2.77,2.43,2.69,2.69,1588308.0
2023-04-18,2.76,2.94,2.7,2.78,2.78,1261566.0
2023-04-19,2.59,2.6,2.42,2.45,2.45,1497147.0
2023-04-20,2.45,2.5,2.25,2.34,2.34,869982.0
2023-04-21,2.44,2.52,2.14,2.26,2.26,1592056.0
2023-04-24,2.27,2.27,2.04,2.08,2.08,987106.0
2023-04-25,2.07,2.26,2.03,2.2,2.2,1450283.0
2023-04-26,2.47,2.55,2.26,2.29,2.29,1860128.0
2023-04-27,2.27,2.34,2.2,2.34,2.34,761804.0
2023-04-28,2.29,2.36,2.22,2.31,2.31,658616.0
2023-05-01,2.25,2.28,2.08,2.1,2.1,871158.0
2023-05-02,2.09,2.3,2.08,2.26,2.26,635904.0
2023-05-03,2.16,2.42,2.13,2.4,2.4,849980.0
2023-05-04,2.42,2.49,2.26,2.38,2.38,755380.0
2023-05-05,2.38,2.42,2.2,2.21,2.21,1030347.0
2023-05-08,2.16,2.21,1.91,1.95,1.95,1250193.0
2023-05-09,1.98,2.1,1.76,2.0,2.0,1547420.0
2023-05-10,2.08,2.3,2.0,2.19,2.19,1342556.0
2023-05-11,2.16,2.17,1.97,2.01,2.01,789958.0
2023-05-12,1.98,2.12,1.87,2.1,2.1,1372600.0
2023-05-15,2.09,2.45,2.05,2.41,2.41,1521349.0
2023-05-16,2.4,2.45,2.3,2.44,2.44,865723.0
2023-05-17,2.4,2.55,2.39,2.47,2.47,880686.0
2023-05-18,2.42,2.51,2.35,2.38,2.38,549252.0
2023-05-19,2.44,2.55,2.34,2.53,2.53,834882.0
2023-05-22,2.48,2.51,2.36,2.49,2.49,511016.0
2023-05-23,2.48,2.62,2.38,2.45,2.45,1040476.0
2023-05-24,2.42,2.44,2.21,2.29,2.29,647856.0
2023-05-25,2.32,2.36,2.22,2.3,2.3,530074.0
2023-05-26,2.29,2.4,2.25,2.39,2.39,603661.0
2023-05-30,2.53,2.6,2.4,2.45,2.45,1099311.0
2023-05-31,2.36,2.55,2.29,2.54,2.54,1062747.0
2023-06-01,2.55,2.57,2.46,2.52,2.52,509616.0
2023-06-02,2.53,2.6,2.45,2.58,2.58,985480.0
2023-06-05,2.52,2.55,2.3,2.35,2.35,1051393.0
2023-06-06,2.25,2.39,2.15,2.38,2.38,900695.0
2023-06-07,2.35,2.45,2.26,2.33,2.33,712529.0
